qstr_Breaking_camp...|Yeni kamp...
qstr_Wamba|Wamba
qstr_Dismiss/No_Cook|Çıkar/Hiç aşçı yok
qstr_{s10}|{s10}
qstr_You_do_not_have_enou|Mürettebatını bu kadar genişletebilecek yeterlilikte paran yok. İşe aldığın insan sayısını azalt!
qstr_The_abbot_sends_for_|Başrahip tüm tarafların tapınağa gitmeleri için çağırıyor, bu sayede hikayenin her yönünü dinleyebileceksin. Kendi tarafın adına yazıları ve altınla işlenmiş metinleri incelemek için bekleme süresinden fayda sağlayabilirisin.
qstr_fort|kale
qstr_Infiltration|Gizlice sokul
qstr_A_good_way_to_hasten|Direnişçilerin savunmalarına zarar vermek için yiyecek dükkanlarına, su kaynaklarına ya da sadakatlerine zarar vermek {s2} 'ye girmenizi hızlandıracak bir yoldur. Ancak tehlikeli, riskli ve neredeyse intihar gibidir. Yolladığın adamların geri dönme ihtimalleri çok düşüktür ancak başarılı olurlarsa düşmana ciddi hasar verebilirler. Bu hasar için 600 peninge intiyaçları vardır. Ne tür bi sabotaj yapmalarını istersin?
qstr_Poison_the_{s2}_s_wa|{s2}{.nin} su kaynaklarını zehirle.
qstr_Kill_the_{s2}_s_live|{s2}{.nin} hayvanlarını öldür.
qstr_Burn_the_{s2}_s_food|{s2}{.nin} yiyecek dükkanlarını yak.
qstr_Subvert_the_defender|Savunucuları yık.
qstr_____|    
qstr_A_group_of_chosen_me|Seçilmiş bir grup adam su kaynaklarını zehirlemek için gönderilecek. 
qstr_A_group_of_chosen_men|Seçilmiş bir grup adam sığırları öldürmek için gönderilecek. 
qstr_A_group_of_chosen_men_|Seçilmiş bir grup adam tahıl ambarlarını yakmak için gönderilecek.
qstr_A_group_of_chosen_men_w|Seçilmiş bir grup adam savunmacıları ççkertmek için gönderilecek.
qstr_You_do_not_have_the_|Bu görev için ödeme yapacak 600 peningin yok. 
qstr_{s1}_of_the_{s2}| {s2}{.nin} {s1}{.i}
qstr_Send|Gönder
qstr_You_are_hiring_a_mes|Bir ulak kiralıyorsun. ^Bir mesaj ile üç farklı şey yapabilirsin: Emir vermek, İlişkileri değiştimek ve Diplomasi yapmak.
qstr_Message_Type:|Mesaj Tipi:
qstr_Select_a_Place_for_y|Emirlerin için bir yer seç:
qstr_>>_Orders:^_You_cann|>> Emirler:^ Krallığına ait olmayan bir lorda emir veremezsin. 
qstr_Orders:_None.|Emirler: yok.
qstr_Orders:_Meet_and_Fol|Emirler: Tanış ve Takip ettir.
qstr_Orders:_Go_to_a_Plac|Emirler: Bir yere git.
qstr_Orders:_Patrol_an_Ar|Emirler: Bir alanı kolaçan et. 
qstr_Orders:_Besiege_a_Pl|Emirler: Bir alanı kuşat. 
qstr_>>_Relations:^This_l|>> İlişkiler:^Bu lord senin krallığına ait.
qstr_Relations:_None.|İlişkiler: Yok.
qstr_Relations:_Insult_an|İlişkiler: Aşağıla ve Kışkırt. 
qstr_Relations:_Send_a_Gi|İlişkiler: Bir hediye gönder.
qstr_>>Diplomacy:^It_is_o|>>Diplomacy:^It is only possible to negotiate between faction leaders.^You aren't a king.
qstr_>>Diplomacy:^It_is_on|>>Diplomacy:^It is only possible to negotiate between faction leaders.^{s1} isn't a king.
qstr_Diplomacy:_None.|Diplomasi: Yok.
qstr_Diplomacy:_Suggest_a|Diplomasi: Bir müttefik belirle.
qstr_Diplomacy:_Suggest_P|Diplomasi: Barışı sağla.
qstr_Diplomacy:_Declare_W|Diplomasi: Savaş ilan et.
qstr_You_want_to_order_{s|{s9}'u yönetmek istersen, tanış ve kendini izlet.
qstr_You_want_to_order_{s9|{s9} 'u yönetmek istersen gideceğin yer...
qstr_You_want_to_order_{s9}|{s9}'u yönetmek istersen, etrafı kolaçan et....
qstr_You_want_to_order_{s9}_|{s9}'u yönetmek istersen kuşatacağın yer...
qstr_You_want_to_send_a_m|{s9}'u aşağılamak ve kışkırtmak istersen bir mesaj yolla. Muhtemelen bu onun sana saldırmasını sağlayacaktır.
qstr_You_want_to_send_a_g|İlişkinizi düzeltmek için 2000 pening değerinde yüzük, bilezik ve diğer mücevherleri {s9}'a göndermek istiyorsun.
qstr_You_want_to_invite_{|Müttefiğin yapmak için {s9}{.i} davet etmek istiyorsun. 
qstr_You_want_to_make_pea|{s9} ile barışı sağlamak istiyorsun.
qstr_You_want_to_declare_|{s9}{.e} savaş ilan etmek istiyorsun. Özellikle başka krallıklardan müttefiklerin varsa, ilişkilerinin kötü olmadığı birine savaş açmak diğer krallıkları rahatsız edebilir ve sana güvenleri kalmaz.
qstr_No_message_chosen.|Seçilmiş bir mesaj yok.
qstr_>_You_are_sending_a_|> {s9}{.e} bir mesaj yolluyorsun^^> Mesafe: {reg2} km.^^> Ulağın ücreti {reg3} pening.^^^> {s10}
qstr_You_have_not_chosen_|Gönderecek bir mesaj seçmedin. 
qstr_This_place_is_alread|Bu yer başka bir krallık tarafından kuşatılmış. 
qstr_You_have_good_relati|Bu krallık ile ilişkilerin iyi. Lordun onlara saldırmayacak. 
qstr_You_re_already_at_pe|Bu krallık ile barışı sağladın. Bir ulak göndermene gerek yok. 
qstr_You_need_to_improve_|İttifak önermeden önce bu krallık ile ilişkilerini iyileştirmen gerek.
qstr_You_already_have_an_|Bu krallık ile bir ittifağın var. Mevcut mütefiğinin bitirmesini bekle.
qstr_You_are_already_at_w|Bu krallıkla zaten savaş halindesin. 
qstr_You_do_not_have_the_n|Ulağa ödemek için gerekli paran yok. 
qstr_This_is_a_hardcore_m|Bu çok şiddetli bir istila. ^^Yeniden canlanma ancak turun başında mümkün.
qstr_Please_wait.^Player_|Lütfen bekle.^Oyuncu dirilmesi acnak {{reg10} round sonra:sıradaki round} mümkün olacak.
qstr_Send_message_to_othe|Diğer ADMİN'lere mesaj gönder:
qstr_Broadcast_message_to|Tüm oyuncular için mesaj yayınla:
qstr_*ADMIN*:_{s0}|*ADMIN*: {s0}
qstr_*ADMIN*:|*ADMIN*:
qstr_Reset_map|Haritayı yeniden başlat
qstr_Slay_all_horses|Tüm atları öldür
qstr_Slay_all_bots|Tüm botları katlet
qstr_Slay_player|Oyuncuyu katlet
qstr_Heal_player|Oyuncuyu iyleştir
qstr_Refill_player_s_ammo|Oyuncunun cephanesini doldur
qstr_Fix_player_s_shield|Oyuncunun kalkanını düzelt
qstr_Change_player_s_team|Oyuncunun takımını değiştir
qstr_Make_player_a_specta|Oyuncuyu izleyiciye al
qstr_Give_player_Thor_s_H|Oyuncuya Thor'un Çekicini ver
qstr_Beacon_a_player|Bir oyuncuya yol göster
qstr_Teleport_to_player|Teleport to player
qstr_Teleport_a_player_to|Teleport a player to me
qstr_Make_player_immortal|Make player immortal
qstr_Make_player_mortal_a|Make player mortal again
qstr_Force_Master_of_the_|Force Master of the Field
qstr_Only_available_in_Ba|Sadece Savaş oyunu modunda mevcut!
qstr_You_are_the_Thor_s_C|Thor'un Şampiyonusun
qstr_Kill_as_many_opponen|Öldürebildiğin kadar rakip öldür.
qstr_Kill|Öldür
qstr_You_are_Thor_s_champ|Thor'un şampiyonusun.
qstr_You_are_the_captain_|Bu geminin kaptanısın
qstr_Controls:_arrow_keys|Kontroller: ok tuşları, Enter
qstr_Ship_Captain|Gemi Kaptanı
qstr_Change_game_type_to:|Oyun türünü değiştir:
qstr_Send_Poll|Anket Gönder
qstr_Choose_a_colour_for_|Krallığınız için bir renk seçin!
qstr_Red|Kırmızı
qstr_Green|Yeşil
qstr_Blue|Mavi
qstr_{reg11}_{reg12}_{reg|{reg11}, {reg12}, {reg13}
qstr_Head_of_cattle_to_ta|Sığırların kafasını almak (max {reg22}):
qstr_Create_a_new_goal:|Yeni bir hedef oluştur:
qstr__You_can_select_a_cu|(Özel bir hedef veya bir ödül için aşağıdaki^şablonlardan birini seçebilirsiniz!)
qstr_Let_me_choose!|Seçmeme izin ver!
qstr_{s0}:|{s0}:
qstr_Army_size:|Ordu boyutu:
qstr_Marry_a_{reg59?lord:|Bir {reg59?lord:leydi} ile evlen:
qstr_Right_to_rule:|Yönetme hakkı:
qstr_Wealth:|Zenginlik:
qstr__You_need_to_choose^|(Önce bir hedef seçmeniz gerekiyor!)
qstr_Yes|Evet
qstr_No|Hayır
qstr_Custom_Goal__no_rewa|Özel Hedef (ödül yok)
qstr__You_are_a_king_alre|(Zaten bir kralsın!)
qstr__You_need_to_be_the_|(İlk olarak hizipinizin^hükümdarı olmanız gerekiyor!)
qstr_{reg1}_{reg2}|{reg1}, {reg2}
qstr_New_Goal|Yeni Hedef
qstr_Current_Goal:_{s1}|Mevcut hedef: {s1}
qstr_Troops:|Askerler:
qstr_Marry:|Evlilik:
qstr_{s3}^_______________|{s3}^-------------------------------^
qstr_{s1}^{s2}^|{s1}^{s2}^
qstr_^{s1}|^{s1}
qstr_{s1}^^At:_Ancient_St|{s1}^^Konum: Antik Taşlar
qstr_{s1}^^At:_Hadrian_Wa|{s1}^^Konum: Hadrian Duvarı
qstr_{s1}^^At:_{s2}|{s1}^^Konum: {s2}
qstr_Port_of_{s1}|{s1} Limanı
qstr_vWindDirection|vWindDirection
qstr_Refill_Supplies|Yenilenebilir Kaynaklar
qstr_Refill_Stones|Yenilenebilir Taşlar
qstr_{s1}_of_the_{s3}_was|{s3}{.nin} {s1}{.i} savaşta yenildi ancak kaçmayı başardı.
qstr_{s49}{s12}|{s49}{s12}
qstr_Trying_to_improve_yo|{s44} ile ilişkini ilerletmeye çalışıyorsun
qstr_Is_imprisoned_in_the|{s44} zindanlarında esir durumda
qstr_{s54}_is_a_claimant_|{s54}, {s56} tahtının varisi.
qstr_nowhere|hiçbir yer
qstr_{s57}_and_{s58}|{s57} ve {s58}
qstr_{reg3?She:He}|{reg3?o}
qstr_The_town_of_{s50}|{s50} Şehri
qstr_The_village_of_{s50}|{s52} yakınlarında {s50} köyü
qstr_{s51}_belongs_to_{s1|{s51}, {s2}{.nin} {s1}{.ine} ait.^
qstr_{s2}It_has_no_villag|{s2}{.nin} hiç köyü yok.^
qstr_{s2}{reg0?Its_villag|{s2}{Köyleri/ Köyü} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sahip oldukları: {s50}
qstr_{s9}_and_{s10}|{s9} ve {s10}
qstr_{s12}{s14}|{s12}{s14}
qstr_{s12}_{s14}|{s12}, {s14}
qstr_{s11}{s14}|{s11}{s14}
qstr_{s11}_{s14}|{s11}, {s14}
qstr_{s13}{s14}|{s13}{s14}
qstr_{s13}_{s14}|{s13}, {s14}
qstr_{s21}._The_{s8}_decl|{s21}. İttifak sağlamak için {s8} savaş ilan etti. 
qstr_No_wars!|No wars!
qstr_At_war_with__{reg1}_|At war with ({reg1}): {s12}
qstr_No_allies!|No allies!
qstr_Alliances__{reg2}___|Alliances ({reg2})  : {s11}
qstr_No_casus_belli!|No casus belli!
qstr_Casus_belli____{reg3|Casus belli   ({reg3}): {s13}
qstr_{s12}^{s11}^{s13}^^{|{s12}^{s11}^{s13}^^{s21}
qstr_^___________________|^-------------------------------------------------------------------------------^{s1}^{s21}
qstr_The_{s5}_has_been_de|{s5} yenildi!
qstr_{s7}_opened_the_gate|{s7} kapıları açtı.
qstr_{s7}_closed_the_gate|{s7} kapyı kapattı.
qstr_You_have_received_{r|{reg5} kritik zararına uğratıldın!
qstr_You_have_dealt_{reg5|{reg5} kritik zararla mücadele ettin!
qstr_You_have_received_{re|Başına {reg5} kritik darbesi aldın ve bir süreliğine görme yetin kayboldu!
qstr_You_unleash_your_bat|Savaşma öfkeni serbest bıraktın!!!
qstr_You_feel_exhausted_a|Öfkenden sonra yorgun hissediyorsun!!!
qstr_Your_strength_is_bac|Gücün geri geldi.
qstr_You_are_too_exhauste|Savaşa grmek için fazla yorgunsun.
qstr_The_sound_of_your_si|Tarafının boru sesi seni güçlü hissettiriyor!
qstr_The_sound_of_the_ene|Düşman borusunun sesi seni tedirgin ediyor.
qstr_You_are_no_longer_af|Boru sesi sende herhangi bir etki yaratmıyor.
qstr_{reg1}_ally_troops_w|{reg1} tüm birlikler senin savaş borunun sesinden etkileniyor!
qstr_No_ally_troops_were_|Hiçbir müttefik birlik senin savaş borunun sesinden wtkilenmiyor.
qstr_You_need_to_catch_yo|Savaş boruna tekrar üflemeden önce nefesini toplamalısın.
qstr_Your_supplies_are_re|Erzakların yeniden dolduruldu.
qstr_All_stray_horses_wer|All stray horses were slain by an admin
qstr_AI_warriors_were_sla|AI savaşçıları bir admin tarafından katledildi.
qstr_All_players_were_sla|Tüm oyuncular bir admin tarafından katledildi.
qstr_Player__{s1}__was_sl|Oyuncu '{s1}' bir admin tarafından katledildi. 
qstr_Admin_made_all_playe|Admin made all players immortal
qstr_Admin_made_all_player|Admin made all players mortal
qstr_All_players_were_hea|Tüm oyuncular bir şifacı tarafından iyileştirildi. 
qstr_Admin_refilled_ammo_|Admin refilled ammo of all players
qstr_Admin_fixed_shields_|Admin fixed shields of all players
qstr_Player__{s1}__was_he|Oyuncu '{s1}' bir admin tarafından iyileştirildi. 
qstr_Admin_refilled_ammo_o|Admin refilled ammo of player '{s1}'
qstr_Admin_fixed_shield_o|Admin fixed shield of player '{s1}'
qstr_Admin_made_player__{|Admin made player '{s1}' {reg1?im:}mortal
qstr_Teams_have_been_swit|Teams have been switched by an admin
qstr_Player__{s1}__was_sw|Oyuncu '{s1}' bir admin tarafından başka bir takıma takas edildi. 
qstr_All_players_were_tur|Tüm oyuncular bir admin tarafından seyircilere dönüştürüldü
qstr_Player__{s1}__was_tu|Oyuncu '{s1}' bir admin tarafından seyircilere dönüştürüldü
qstr_{s1}_received_a_Thor|{s1} received a Thor's Hammer from an admin
qstr_*ADMIN_CHAT*_[{s1}]:|*ADMIN SOHBETİ* [{s1}]: {s0}
qstr_Grants_+{reg1}_to_pa|Taraf moraline +{reg1} yardımları 
qstr_Increases_morale_dur|Savaş sırasında morali yükseltir 
qstr_Heavy_Armour:_you_su|Ağır Zırh: belli yetenekler için ağır cezalar ödersin. 
qstr_Medium_Armour:_you_s|Orta Zırh: belli yetenekler için cezalar ödersin. 
qstr_Heavy_Equipment:_you|Ağır Ekipman: Belli yetenekler için cezalar ödersin. 
qstr_Ritual_Equipment:_Ad|Tören Ekipmanları: belirli yeteneklerde avantajlar
qstr_Improves_leadership_|Liderlik ve ikna özelliğini geliştirir. 
qstr_Requires_{reg1}_inte|Okumak için {reg1} yeteneği gereklidir 
qstr_Reading_Progress:_{r|Okuma süreci: {reg1}%
qstr_wound_treatment|Yara tedavisi
qstr_trainer|talimci
qstr_surgery|cerrah
qstr_persuasion|ikna
qstr_Gives_+1_to_{s1}_whi|Keşifteyken {s1}{.e} +1 verir
qstr_Special_Attire:_Bonu|Özel Kıyafet: Belirli becerilerde bonus
qstr_Bonus_to_movement_sp|Hareket hızına bonus
qstr_Move_here|Buradan hareket et
qstr_View_notes|Notları göster
qstr_Accompany|Eşlik et
qstr_Find_landing_point|Karaya çıkış noktasını bul
qstr_killed|Öldürüldü
qstr_wounded|Yaralı
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOPLAM: {reg3} ({s2})
qstr_^{s0}|^{s0}
qstr_nothing|hiçbir şey
qstr_{reg0}_village{reg1?|{reg0} köy{reg1?s:}
qstr_{reg0}_fort{reg1?s:}|{reg0} fort{reg1?s:}
qstr_{reg0}_fort{reg1?s:}_|{reg0} fort{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} şehir{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} şehir{reg1?s:} ve {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} şehir{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Rakiplerin dövüş için hazırlar.
qstr_Try_to_destroy_as_ma|Yapabildiğin kadar çok hedefi yok et. Yolu temizlemen için iki buçuk dakikan var.  
qstr_Stay_behind_the_line|Yerde sıranın arkasında kal ve hedefleri vur. Hiç bir atışı harcamamaya çalış. 
qstr_trying_quest_{reg1}|trying quest {reg1}
qstr_Garrison_Troops|Garnizon Askerleri
qstr_Camp_Troops|Kamp Askerleri
qstr_Refuge_Troops|Sığınak Askerleri
qstr_Even_though_nearby_{|Yakın olsa da, {s1} yardımına gelmiyor.
qstr_Battle_Advantage_=_{|Savaş Avantajı = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} daha sonraki bildirime kadar ordusunu takibe devam etmek istiyor.  
qstr__Being_Raided_|(Baskına uğramış)
qstr__Looted_|(Yağmalanmış)
qstr__Under_Siege_|(Kuşatma altında)
qstr_The_village_of_{s1}_|{s1} köyü {s2} tarafından yağmalandı.
qstr_Village_{s10}_raided|Village {s10} raided!
qstr_{s3}_is_no_longer_un|{s3} kuşatma altında değil.
qstr_Small_bands_of_enemi|Küçük bir düşman grubu {s1} yakınlarında görüldü.
qstr_Enemy_patrols_have_b|{s1} yakınlarında düşman devriyesi görüldü.
qstr_A_medium_sized_group|{s1} yakınlarında orta büyüklükte bir düşman grubu görüldü.
qstr_A_significant_group_|{s1} yakınlarında ciddi büyüklükte bir düşman grubu görüldü.
qstr_An_army_of_enemies_h|{s1} yakınlarında bir düşman ordusu görüldü.
qstr_A_large_army_of_enem|{s1} yakınlarında büyük bir düşman ordusu görüldü.
qstr_A_great_host_of_enem| {s1} yakınlarında geniş bir düşman grubu görüldü.
qstr_{s1}_has_been_besieg|{s1} , {s3}{.nin} {s2}{.i} tarafından kuşatma altına alındı.
qstr_Center_{s10}_is_unde|Merkez {s10} saldırı altında!
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_Feast_concludes|Ziyafet sona eriyor
qstr_{s1}_is_the_new_mars|{s1}, {s2}{.nin} yeni mareşali.
qstr_You_gain_{reg12}_ren|{reg12} nam kazandın.
qstr_You_lose_{reg12}_ren|{reg12} nam kaybettin.
qstr_Your_relation_with_{|{s1} ile olan ilişkin iyileşti. 
qstr_Your_relation_with_{s|{s1}ile olan ilişkin kötüleşti.
qstr_You_have_angered_the|Onları kızdırdın.
qstr_You_have_appeased_th|Onları memnun ettin.
qstr_You_gain_reputation.|Ün kazandın.
qstr_You_lose_reputation.|Ün kaybettin.
qstr_Now_your_reputation_|şu an ünün {reg1}
qstr_The_{s1}_has_declare|{s1} {s2}{.e} savaş açtı.
qstr_The_{s15}_complies_w|{s15} müttefiği {s17} ile iş birliği yaparak {s16}{.e} saldırdı.
qstr_The_{s1}_and_the_{s2|{s1} ve {s2} birbirleriyle barış sağladı. 
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?en son} {s3}{.de}.
qstr_{s2}_{reg3?was:is}_t|{s2}, {s3}{.e} yol alıyor ve kendisi {s4}'e şu anda yakınlarında.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?:en son} alanındaydı ve {reg4?kendisi:kendisi} {reg3?:şu anda} {s3} {reg3?'nden yola çıktı.:yakınlarında.}.
qstr_{s2}_{reg3?was:is}_b|{s2}, {s3}{.de} esir tutuluyor.
qstr_{s2}_{reg3?was:has_b|{s2} düşmanları tarafından esir alındı.
qstr_I_don_t_know_where_{|{s2}{.nin} nerede olduğunu bilmiyorum.
qstr_{s2}_is_attacking_th|{s2} Saksonlara saldırıyor.
qstr_{s2}_is_defending_th|{s2} Ragnar'ın çocuklarının krallığını savunuyor.
qstr_You_now_owe_{reg2}_p|şu an {s1}'e {reg2} pening borçlusun.
qstr_Royal_guardian|Kraliyet gardiyanı
qstr_You_stand_to_gain_{r|Eğer bu savaşı kazanırsan {reg8} nam kazanırsın.
qstr_You_have_run_into_a_|Tuzağa düşürüldün!
qstr_You_are_attacked_by_|Bir haydut grubu tarafından saldırıya uğradın!
qstr_Following|Takip ediyor
qstr_Holding|Bekliyor
qstr_Charging|İşliyor
qstr_Advancing|İlerliyor
qstr_Falling_Back|Geri düşüyor
qstr_Standing_Closer|Yakın duruyor
qstr_Spreading_Out|Yayılıyor
qstr_Standing|Duruyor
qstr_Retreating|Geri çekiliyor
qstr_N/A|N/A
qstr_Free|Bedava
qstr_Any_Weapon|Herhangi bir silah
qstr_Blunt_Weapons|Körleşmiş Silahlar
qstr_Given_by:_{s62}|Tarafından: {s62}
qstr_Given_on:_{s60}|Bırakılan: {s60}
qstr_This_quest_has_been_|Bu görev tamamlandı. {s59}{.e} haberleri ver.
qstr_This_quest_has_been_c|Bu görev sonuçlandı.
qstr_This_quest_has_been_s|Bu görev başarıyla tamamlandı. {s59} ile konuş.
qstr_This_quest_has_been_su|Bu görev başarıyla tamamlandı.
qstr_This_quest_has_faile|Bu görev başarısızlıkla sonuçlandı. {s59} ile durumu açıklamak üzere konuş. 
qstr_This_quest_has_failed|Bu görev başarısızlıkla sonuçlandı.
qstr_At_the_time_quest_wa|Görev verildiği sırada:^{s1}
qstr_The_{s5}_has_a_stren|{s5} toplamda {reg1} adamın gücüne sahip.
qstr_According_to_the_las|Onu gördüğün son sefere göre, {s1}
qstr_According_to_the_last|Onun hakkında işittiğin son şeye göre, {s1}
qstr_The_current_garrison|Mevcut garnizonda {reg5} adam var.^ {reg6} gün yetecek yemek stokları mevcut.
qstr_Very_Poor|Çok fakir
qstr_Poor|Fakir
qstr_Average|Ortalama
qstr_Rich|Zengin
qstr_Very_Rich|Çok Zengin
qstr_Mead_Hall|Han
qstr_A_mead_hall_lets_you|Bir han, şehirde dinlenmenize ve dinlenirken de askerlere yarım ücret ödemenizi sağlar. Ayrıca yerel isyanları önler ve ticareti teşvik eder.
qstr_Mill|Değirmen
qstr_A_mill_increases_vil|Değirmen köyün değerini %5 artırır.
qstr_Watchtower|Gözcü Kulesi
qstr_A_watchtower_lets_th|Bir gözcü kulesi köylülerin daha önce alarmı çalmasına izin veriyor. Düşmanların köyleri yağmalama süresi %50 oranında artar.
qstr_School|Okul
qstr_A_school_increases_t|Bir okul köylülerin sadakatini her ay yaklaşık +1 artırır ve refahın artmasına katkıda bulunur.
qstr_Messenger_Post|Ulak Karakolu
qstr_A_messenger_post_let|Ulak Karakolu eğer sen bir yerleşim yerine uzaktaysan düşmanların yaklaştığı heran o yerin sakinlerinin sana haber vermelerini sağlar. 
qstr_Prison_Tower|Cezaevi Kulesi
qstr_A_prison_tower_preve|Bir cezaevi kulesi isyanları önler ve burada esirlerin kaçma ihtimalini azaltır. Bir işkence içerir.
qstr_Christian_Monastery|Hristiyan Manastırı
qstr_A_monastery_promotes|Manastır Hristiyanlığın yayılmasını destekler. 
qstr_Temple_to_god_Odin|Tanrı Odin Tapınağı
qstr_A_temple_promotes_pa|Tapınak pagan öğretilerini destekler. 
qstr_Christian_Church|Hristiyan Kilisesi
qstr_A_church_promotes_Ch|Bir kilise Hristiyanlığı destekliyor.
qstr_Shrine_to_Norse_Gods|İskandinav Tanrılarına Tapınak
qstr_A_shrine_promotes_pa|Mabet pagan öğretilerini destekler.
qstr_Blacksmith|Demirci
qstr_A_blacksmith_manufac|Demirci el aletleri ve silahlar üretir ve satar. 
qstr_Merchants__Rest_Hall|Tüccarların Dinlenme Yeri
qstr_A_rest_hall_supports|Bir dinlenme salonu refahı artırarak tüccar topluluğunu destekler.
qstr_Scriptorium|Manastır Yazıhanesi
qstr_A_scriptorium_increa|Yazıhane sizin ününüzü bilgelik efendisi olarak gösterip artırır. 
qstr_Slave_Market|Köle Marketi
qstr_A_slave_market_incre|Köle marketi, liman şehrinizin refah seviyesini ve vergi gelirini yükseltir fakat halkın size olan itibarının düşmesine sebep olur.
qstr_Brewery|Bira Fabrikası
qstr_A_brewery_increases_|Bira fabrikası kalenizin refah seviyesini ve size olan bağlılığını artırır.
qstr_The_prosperity_of_{s|{s2}{.nin} zenginliği {s3}{.ten} {s4}{.e} değişti.
qstr_{s4}_looks_upset.|{s4} üzgün görünüyor.
qstr_your_party|Senin tarafın
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :} {s3}{.nin} {s1}{.i} esaretten kurtuldu!
qstr_You_have_delivered_{|{s1}{.e} {reg3} baş sığır getirdin. 
qstr_I_hear_that_there_wi|Yakında {s62} turnuvası olacağını duydum.
qstr_I_heard_that_one_can|{s62}{.nin} {s63}{.de}çok ucuza alınabileceğini duydum.
qstr_I_heard_that_they_pa|{s63}{.de} {s62} için çok yüksek ücret ödediklerini duydum. 
qstr_I_heard_that_the_Dan|Danimarkalıların Batı Seaks'ı gelecek bahardan önce fethedeceklerini duydum.
qstr_Currently_the_most_r|Son zamanlarda ozanlardan en çok istenen şarkı Gwynedd kralı Cadwallon'un şarkısı ve Northhymbre'yı fethedip eski Deira Krallığı'nın kalbine giren Mierce kralı Penda'nın şarkısı. Kral Eadwine savaşçılarını toplamış ve onlarla savaşta buluşmak için güneye gitmiştir. İki ordu Haedfeldland'da karşılaşmış ve tüm zamanların en kanlı ve en acımasız savaşına katılmışlardır. Belki de bu popülerliği son zamanlardaki fetihlerden gelmektedir.
qstr_I_heard_the_Pope_in_|Papa'nın Roma'dan Danimarkalıları çevirmek için misyonerler gönderdiğini duydum!
qstr_Ragnar_s_sons_are_th|Ragnar'ın oğulları dünyadaki en tehlikeli insanlar. Onlar ne kadar acımasız olduklarını ve bu yüzden kimsenin onlarla karşılaşmak istemediğini duydum. 
qstr_I_think_the_wife_of_|Bir arkadaşımın eşinin kendisini bir ozanla aldattığını düşünüyorum. 
qstr_I_hate_bandits!_Some|Haydutlardan nefret ediyorum! Birileri onların hepsini öldürmeli.
qstr_I_would_like_to_know|Romalılar dönemini öğrenmek istiyorum.
qstr_Many_of_the_nobles_o|Englaland'ın neredeyse tüm gençleri genç prenses Hild'den etkilenmişler. O kadar güzel ki. Dine eğilimli olması büyük şanssızlık!
qstr_A_traveller_told_me_|Bir gezgin bana Franklerin Frisianlara saldırmak için adam topladıklarını söyledi.
qstr_The_Danish_have_brou|Danimarkalılar tüm yabancıları beraberlerinde getirdi. Adeta tüm dünya eski Englaland'a gelmiş gibi.
qstr_West_Seaxe_was_never|Batı Seakse hiç bu kadar güçlü olmamıştı. Krallarının Brytenwalda olarak anılması çok normal.
qstr_I_wish_the_world_wer|Keşke dünya daha az tehlikeli olsaydı. Az insan yaşlanıyor.
qstr_I_ve_been_told_the_a|Ui Neill ordusunun sıkı disiplin ve talimini sürdürdüğünü duydum. Bu yüzden Hibernia'da en güçlü onlar!
qstr_two_days_ago|iki gün önce
qstr_{s24}_increased_reno|{s24}, {s25} adlı şölene katılarak ününü arttırdı.
qstr_You_asked_me_to_come|Buraya gelip {s33} ' de buluşmamı istemiştin. İşte buradayım, gelmeni bekliyorum.
qstr_You_asked_me_to_come_|Benden {s33} civarında gelip devriye gezmemi istedin. Öyleyse buradayım, düşmanları arıyorum.
qstr_Marshal_has_chosen_{|Mareşal, asker toplamak için {s13} seçimini yaptı.
qstr_Marshal_Levying_Troo|Mareşal Levying Birlikleri
qstr_The_marshal_is_levyi|Mareşal senin {s10} merkezinden {reg0} birlik topladı. 
qstr_{s35}_of_the_{s34}|{s34}'{.in} {s35}'{.i}
qstr_{s37}_of_the_{s36}|{s36}'{.in} {s37}'{.i}
qstr_The_brewery_in_{s1}_|{s1} bira fabrikası buranın refah seviyesini artırıyor. 
qstr_You_gain_right_to_ru|Yönetme hakkı kazandın.
qstr_You_lose_right_to_ru|Yönetme hakkını kaybettin.
qstr_Content_update_appli|Kayıtlı oyuna uygulanan içerik güncellemesi.
qstr_{s1}_has_entered_tra|{s1} transa girdi!
qstr_{s1}_has_become_unco|{s1} kontrol edilemez halde!
qstr_{s1}_is_getting_exha|{s1} is getting exhausted after the rage.
qstr_{s1}_back_to_normal!|{s1} normale döndü!
qstr_Manage_this_village.|Bu köyü yönet.
qstr_Recruit_volunteers.|Gönüllü topla. 
qstr_Go_to_the_village_ce|Köy merkezine git. 
qstr_Meet_the_leader.|Liderle konuş.
qstr_Buy_supplies.|Erzak satın al.
